lifeExp,pop,gdpPercap
28.801,8425333,779.4453145
30.332,9240934,820.8530296
31.997,10267083,853.10071
34.02,11537966,836.1971382
36.088,13079460,739.9811058
38.438,14880372,786.11336
39.854,12881816,978.0114388
40.822,13867957,852.3959448
41.674,16317921,649.3413952
41.763,22227415,635.341351
42.129,25268405,726.7340548
43.828,31889923,974.5803384
55.23,1282697,1601.056136
59.28,1476505,1942.284244
64.82,1728137,2312.888958
66.22,1984060,2760.196931
67.69,2263554,3313.422188
68.93,2509048,3533.00391
70.42,2780097,3630.880722
72,3075321,3738.932735
71.581,3326498,2497.437901
72.95,3428038,3193.054604
75.651,3508512,4604.211737
76.423,3600523,5937.029526
43.077,9279525,2449.008185
45.685,10270856,3013.976023
48.303,11000948,2550.81688
51.407,12760499,3246.991771
54.518,14760787,4182.663766
58.014,17152804,4910.416756
61.368,20033753,5745.160213
65.799,23254956,5681.358539
67.744,26298373,5023.216647
69.152,29072015,4797.295051
70.994,31287142,5288.040382
72.301,33333216,6223.367465
30.015,4232095,3520.610273
31.999,4561361,3827.940465
34,4826015,4269.276742
35.985,5247469,5522.776375
37.928,5894858,5473.288005
39.483,6162675,3008.647355
39.942,7016384,2756.953672
39.906,7874230,2430.208311
40.647,8735988,2627.845685
40.963,9875024,2277.140884
41.003,10866106,2773.287312
42.731,12420476,4797.231267
62.485,17876956,5911.315053
